burst_id,start,end,duration_hours,event_count,participant_count,confidence,emails,meetings
0,2022-08-05 13:15:24,2022-09-02 21:14:32,679.9855555555556,5,13,0.700371718375042,4,1
1,2022-10-19 20:30:00,2022-11-11 21:55:13,553.4202777777778,7,19,0.6850861139677569,4,3
2,2022-11-10 22:30:00,2022-12-08 05:21:09,654.8525,4,12,0.6434091491499994,3,1
3,2023-01-04 19:02:43,2023-01-21 00:10:34,389.1308333333333,4,6,0.6820558638161542,3,1
4,2023-09-15 10:56:15,2023-10-10 08:43:10,597.7819444444444,3,6,0.523225932698218,3,0
5,2024-06-07 20:45:00,2024-06-13 15:25:51,138.68083333333334,3,4,0.6605764810686408,1,2
6,2026-03-10 15:00:00,2026-04-06 16:30:00,649.5,3,7,0.6694952161002969,1,2
